Course,City,State/Province,Country,Postal Code,# Holes,Rating,Approximate_Lat,Approximate_Lon
SARA Park Disc Golf Course,Lake Havasu City,Arizona,United States,86406,18,0,34.423236,-114.109863
School House Gulch,Prescott,Arizona,United States,86303,18,0,34.482405,-112.449649
Sears Park,Tucson,Arizona,United States,85711,9,4,32.215235,-110.883394
Show Low Disc Golf Course,Show Low,Arizona,United States,85901,18,5,34.314806,-110.024014
Skyline Ranch,SanTan Valley,Arizona,United States,85142,9,4.333335,33.199990,-111.636294
Sundance Park,Buckeye,Arizona,United States,85326,18,5,33.293755,-112.590514
Sunrise Ski Resort,Fort Apache,Arizona,United States,85930,18,0,34.047324,-109.720674
Tall Timbers Disc Golf Course,Heber/ Overgaard,Arizona,United States,85928,9,0,34.545363,-110.551182
The Boneyard,Globe,Arizona,United States,85501,9,0,33.559004,-110.769126
The Lost Forrest,Huachuca City,Arizona,United States,85616,9,0,31.701994,-110.322654
Thorpe Park,Flagstaff,Arizona,United States,86001,18,2.5,35.287661,-111.639303
Thunderbird-Paseo,Phoenix (Glendale),Arizona,United States,85304,18,2.8,33.599739,-112.178276
Tobin Brenard Disc Golf Course,Quartzite,Arizona,United States,85346,9,0,33.635982,-114.145877
Tortosa Disc Golf Course,Maricopa,Arizona,United States,85138,9,0,33.007626,-111.989532
Vista del Camino Park,Phoenix (Scottsdale),Arizona,United States,85257,18,4.5,33.461960,-111.916392
Watson Lake,Prescott,Arizona,United States,86301,18,4,34.587023,-112.429033
Wayne Ranch Disc Golf Course,Queen Creek,Arizona,United States,85140,9,0,33.244531,-111.543812
West Wetlands Park,Yuma,Arizona,United States,85364,9,2,32.702260,-114.658013
Wilderness Ranch,Lakeside,Arizona,United States,85929,18,0,34.184683,-109.939822
Willow Lake Disc Golf Course,Prescott,Arizona,United States,86301,18,0,34.587023,-112.429033
Wood Land,Pinetop-Lakeside,Arizona,United States,85929,18,4,34.184683,-109.939822
Alma Flying Disc Golf Course,Alma,Arkansas,United States,72921,18,0,35.477101,-94.196225
Alma Middle School Disc Golf Course,Alma,Arkansas,United States,72921,9,0,35.477101,-94.196225
Arkadelphia Youth Sports Complex,Arkadelphia,Arkansas,United States,71923,18,4,34.085089,-93.045270
Arkansas Tech University,Ozark,Arkansas,United States,72949,9,0,35.584277,-93.805165
ASUMH Disc Golf Course,Mountain Home,Arkansas,United States,72653,18,0,36.342381,-92.385430
Bear Trail Disc Golf Course,Conway,Arkansas,United States,72035,3,3,35.078763,-92.457353
Beaverfork Disc Golf Course,Conway,Arkansas,United States,73032,18,4,34.398366,-97.047749
Bell Park Disc Golf Course,Greenwood,Arkansas,United States,72936,18,0,35.189721,-94.218511
Ben Geren Park - Massard Creek Disc Golf Course,Fort Smith,Arkansas,United States,72903,18,0,35.350978,-94.361247
Ben Geren Park - North Yellow,Fort Smith,Arkansas,United States,72916,18,4,35.260747,-94.390099
Ben Geren Park - South Orange,Fort Smith,Arkansas,United States,72916,18,0,35.260747,-94.390099
Bluegrass Trails Disc Golf Course,Mountain View,Arkansas,United States,72560,18,2.5,35.851011,-92.094066
Booneville Disc Golf Course,Booneville,Arkansas,United States,72927,18,0,35.080054,-93.939867
Bovine 9 at Catherine's Landing,Hot Springs,Arkansas,United States,71901,9,4,34.526453,-92.974072
Branchwood Disc Golf Course,Bella Vista,Arkansas,United States,72715,18,5,36.467146,-94.304915
Broadmoor Lake Disc Golf Course,Little Rock,Arkansas,United States,72204,9,0,34.717617,-92.358338
Burns Park - Blue,North Little Rock,Arkansas,United States,72118,18,0,34.840468,-92.326035
Burns Park - Junior,North Little Rock,Arkansas,United States,72118,9,0,34.840468,-92.326035
Burns Park - Red,North Little Rock,Arkansas,United States,72118,18,0,34.840468,-92.326035
