ID,Name, Number of holes, Latitude, Longitude
182,Beachfront Park Disc Golf Course,24,41.75,-124.20
183,Beacon Glades,20,41.49,-73.97
184,The Beacon at Golden Hill State Park,18,43.37,-78.48
185,Beacon Hill Park Disc Golf,18,40.45,-111.80
186,Beacon Hollow Disc Golf Course,18,42.76,-95.57
187,Beal Park Disc Golf Course,18,31.97,-102.14
188,Beal Slough Disc Golf Course,18,40.74,-96.64
189,Beale's Treasure Disc Golf Course,18,37.38,-79.72
190,Bear Basin Disc Golf Course,18,44.93,-116.14
191,Bear Branch Sportsfield Park,18,30.19,-95.49
192,Bear Cave Park,18,43.86,-92.50
193,The Bear at Compass Lake,18,30.61,-85.38
194,Bear Creek Disc Golf - Birdie,18,40.48,-75.63
195,Bear Creek Disc Golf Course,18,35.43,-79.59
196,Bear Creek Resort,18,47.76,-115.47
197,Bear Hollow,18,36.95,-92.67
198,Bear Mountain Disc Golf Course,22,39.41,-105.48
199,Bear Pen Park,18,33.74,-90.76
200,The Bear,18,35.70,-81.36
201,Beardstown Disc Golf Course,18,40.01,-90.42
202,The Bear's Den,18,44.58,-85.55
203,Bearskin Creek at Dickerson Park,18,34.99,-80.56
204,The Beast on Honey Hill,18,34.31,-78.66
205,Beattie Park,18,34.63,-120.44
206,Beatty Park Disc Golf Course,18,40.35,-80.62
207,Beau Pre DiscGolfPark,18,40.96,-124.10
208,Beaufort County Community College Disc Golf Course,18,35.60,-77.12
209,Beaver Branch,18,39.41,-75.65
210,Beaver Brook Disc Golf Course,18,44.29,-70.07
211,Beaver Creek Mini Disc Golf Course,18,39.97,-76.15
212,Beaver Creek Resort,18,39.63,-106.53
213,Beaver Island State Park,18,42.96,-78.97
214,Beaver Meadows Resort Ranch,18,40.84,-105.65
215,Beaver Mountain,18,41.97,-111.54
216,Beaver Ranch - Bluebird Putting Course,20,39.51,-105.30
217,Beaver Ranch - Conifer,21,39.51,-105.30
218,Beaverfork Disc Golf Course,18,35.14,-92.46
219,Becker City Park,18,45.42,-93.87
220,Becky Zallek Disc Golf Course,18,41.62,-93.63
221,Bedford YMCA,18,37.34,-79.56
222,Beech Fork State Park Disc Golf Course,18,38.31,-82.35
223,Beech Mountain Resort Disc Golf,18,36.19,-81.88
224,Begg Park,18,42.33,-85.26
225,Bell & Howard Chevrolet Disc Golf Course,18,35.80,-80.85
226,Bell Park Disc Golf Course,18,35.23,-94.27
